date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:55:37	61/61	---MCZ	200	added ('OK')	text/plain	date:Thu,%2017%20Mar%202016%2006:55:37%20GMT	http://sainathchillapuram.com/robots.txt		(from )
13:55:37	34916/34916	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Dec%202015%2004:55:48%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/index.html	(from )
13:55:38	122544/122544	---MCZ	200	added ('OK')	text/css	date:Thu,%2008%20Oct%202015%2015:25:12%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/css/bootstrap.min.css	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/css/bootstrap.min.css	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:55:38	2330/2330	---MC-	200	added ('OK')	text/css	date:Thu,%2017%20Mar%202016%2006:55:38%20GMT	https://fonts.googleapis.com/css?family=Lato:400,100,100italic,300,300italic,400italic,700,700italic,900,900italic	/home/ibnuhamdani/websites/hyhy/fonts.googleapis.com/css0733.css	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:55:38	3002/3002	---MC-	200	added ('OK')	text/css	date:Thu,%2017%20Mar%202016%2006:55:38%20GMT	https://fonts.googleapis.com/css?family=Roboto:400,100,300,100italic,300italic,400italic,500,500italic,700,700italic,900,900italic	/home/ibnuhamdani/websites/hyhy/fonts.googleapis.com/cssd264.css	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:55:39	26715/26715	---MCZ	200	added ('OK')	text/css	date:Thu,%2008%20Oct%202015%2015:25:12%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/font-awesome/css/font-awesome.min.css	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/font-awesome/css/font-awesome.min.css	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:55:40	27479/27479	---MCZ	200	added ('OK')	text/css	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/css/camera.css	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/camera/css/camera.css	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:55:40	8049/8049	---MCZ	200	added ('OK')	text/css	date:Thu,%2008%20Oct%202015%2015:25:16%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/magnific-popup/magnific-popup.css	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/js/plugins/magnific-popup/magnific-popup.css	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:55:40	11136/11136	---MCZ	200	added ('OK')	text/css	date:Fri,%2009%20Oct%202015%2006:43:22%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/css/responsive.css	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/css/responsive.css	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:55:41	50644/50644	---MCZ	200	added ('OK')	text/css	date:Fri,%2009%20Oct%202015%2006:43:22%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/css/style.css	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/css/style.css	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:55:42	13555/13555	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202016%2006:55:41%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/fav-144.png	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/fav-144.png	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:55:43	13555/13555	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202016%2006:55:42%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/fav-114.png	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/fav-114.png	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:55:44	13555/13555	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202016%2006:55:44%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/fav-72.png	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/fav-72.png	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:55:45	13555/13555	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202016%2006:55:45%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/fav-57.png	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/fav-57.png	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:55:46	13555/13555	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Mar%202016%2006:55:46%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/fav.png	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/images/fav.png	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
13:55:47	34916/34916	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Dec%202015%2004:55:48%20GMT	http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/index.html	/home/ibnuhamdani/websites/hyhy/sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/index-2.html	(from http://sainathchillapuram.com/BS/mediplus/hosptails/html-fullwidth/)
